BillingCity,"round(avg(total),2)"
,1000.86
Argentina,5.37
Australia,5.37
Austria,6.09
Belgium,5.37
Brazil,5.37
Brazil,5.37
Brazil,5.66
Brazil,5.37
Canada,5.37
Canada,5.37
Canada,5.66
Canada,5.37
Canada,5.37
Canada,5.52
Canada,5.37
Canada,5.37
Chile,6.66
Czech Republic,6.45
Denmark,5.37
Finland,5.95
France,5.66
France,5.8
France,5.37
France,5.52
Germany,5.37
Germany,6.23
Germany,5.37
Hungary,6.52
India,6.11
India,5.52
Ireland,6.52
Italy,5.37
Netherlands,5.8
Norway,5.66
Poland,5.37
Portugal,5.66
Portugal,5.37
Spain,5.37
Sweden,5.52
USA,5.37
USA,6.23
USA,5.52
USA,6.8
USA,6.09
USA,5.52
USA,5.37
USA,5.66
USA,5.66
USA,5.37
USA,6.23
USA,5.37
United Kingdom,5.37
United Kingdom,5.37
